Tempo_Decorrido_S,System_Total_CPU_Percent,System_Used_Memory_GB
221.3,12.6,5.84
221.8,14.9,5.84
222.3,11.3,5.85
222.8,12.8,5.85
223.3,1.0,5.85
223.8,5.5,5.84
224.3,13.3,5.85
224.8,12.1,5.85
225.31,6.8,5.86
225.81,9.5,5.86
226.31,9.7,5.86
226.81,11.0,5.86
227.31,8.3,5.83
227.81,11.8,5.83
228.31,10.3,5.84
228.81,6.1,5.87
229.31,3.3,5.86
229.81,16.4,5.89
230.31,13.8,5.9
230.81,12.6,5.9
231.31,9.7,5.9
231.81,3.8,5.89
232.31,3.0,5.89
232.81,12.6,5.92
233.31,14.6,5.91
233.82,8.3,5.92
234.32,13.5,5.92
234.82,5.1,5.92
235.32,15.5,5.94
235.82,12.8,5.94
236.32,3.0,5.94
236.82,10.2,5.91
237.32,7.3,5.9
237.82,11.5,5.9
238.32,6.8,5.9
238.82,2.3,5.9
239.32,5.8,5.9
239.82,6.8,5.9
240.32,3.8,5.9
240.82,9.7,5.9
241.32,0.5,5.9
241.83,0.2,5.9
242.33,3.5,5.89
242.83,4.3,5.89
243.33,3.5,5.89
243.83,5.3,5.89
244.33,9.0,5.89
244.83,0.8,5.89
245.33,4.0,5.89
245.83,6.8,5.9
246.33,15.2,5.93
246.83,1.0,5.92
247.33,1.2,5.92
247.84,3.3,5.92
248.34,7.8,5.92
248.84,6.3,5.93
249.34,3.5,5.93
249.84,3.8,5.93
250.34,4.7,5.93
250.84,3.0,5.92
251.34,7.3,5.93
251.84,10.5,5.93
252.34,2.5,5.93
252.84,3.0,5.93
253.34,2.8,5.9
253.84,5.5,5.9
254.34,5.8,5.91
254.84,12.5,5.91
255.35,10.0,5.91
255.85,11.3,5.91
256.35,3.3,5.91
256.85,3.5,5.91
257.35,9.3,5.92
257.85,8.8,5.93
258.35,10.3,5.93
258.85,14.6,5.94
259.35,5.0,5.94
259.85,3.0,5.93
260.35,2.5,5.94
260.85,5.5,5.94
261.35,9.8,5.94
261.85,10.5,5.94
262.35,5.5,5.93
262.86,9.8,5.92
263.36,15.6,5.92
263.86,11.0,5.92
264.36,3.2,5.91
264.86,13.4,5.92
265.36,2.0,5.91
265.86,1.7,5.9
266.36,7.3,5.91
266.86,7.7,5.91
267.36,9.0,5.91
267.86,6.3,5.92
268.36,2.0,5.92
268.86,7.3,5.91
269.37,13.5,5.91
269.87,7.3,5.91
270.37,15.8,5.92
270.87,16.5,5.97
271.37,13.1,5.97
271.87,10.2,5.97
272.37,13.5,5.96
272.87,8.5,5.97
273.37,6.3,5.98
